,precision,recall,f1-score,support
Analysis,0.0000,0.0000,0.0000,19.0000
Backdoor,0.0000,0.0000,0.0000,18.0000
DoS,0.0000,0.0000,0.0000,22.0000
Exploits,0.0900,1.0000,0.1651,18.0000
Fuzzers,0.0000,0.0000,0.0000,25.0000
Generic,0.0000,0.0000,0.0000,20.0000
Normal,0.0000,0.0000,0.0000,41.0000
Reconnaissance,0.0000,0.0000,0.0000,18.0000
Shellcode,0.0000,0.0000,0.0000,10.0000
Worms,0.0000,0.0000,0.0000,9.0000
accuracy,0.0900,0.0900,0.0900,0.0900
macro avg,0.0090,0.1000,0.0165,200.0000
weighted avg,0.0081,0.0900,0.0149,200.0000
